Name,Block Group,Census Tract,County,State,GEOID10,Ward,Total:,Male:,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female:,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"Block Group 4, Census Tract 11.05, Boone County, Missouri",4,11.05,19,29,290190011054,6,1082,741,0,0,0,0,0,45,305,257,77,57,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,37,38,113,100,0,0,21,0,22,0,0,10,0,0,0,0,0
"Block Group 1, Census Tract 11.06, Boone County, Missouri",1,11.06,19,29,290190011061,6,1978,931,0,0,0,0,117,144,417,0,51,90,0,0,78,0,0,0,34,0,0,0,0,0,0,1047,47,0,0,0,145,155,229,351,16,23,0,23,0,29,0,29,0,0,0,0,0,0,0
"Block Group 2, Census Tract 11.06, Boone County, Missouri",2,11.06,19,29,290190011062,6,1552,991,41,0,0,0,18,66,171,456,143,13,0,32,0,27,0,0,24,0,0,0,0,0,0,561,56,0,0,0,14,167,0,183,58,17,0,0,0,28,0,0,0,0,0,38,0,0,0
"Block Group 3, Census Tract 11.06, Boone County, Missouri",3,11.06,19,29,290190011063,6,1301,143,0,44,0,31,0,0,34,0,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,24,24,0,0,588,0,193,47,50,82,57,93,0,0,0,0,0,0,0,0,0,0,0
"Block Group 4, Census Tract 11.06, Boone County, Missouri",4,11.06,19,29,290190011064,6,2030,907,172,71,0,30,0,0,0,40,215,96,101,0,40,0,0,29,0,0,51,39,8,15,0,1123,164,0,16,35,0,44,0,221,273,58,127,0,0,27,0,0,25,29,8,41,7,26,22
"Block Group 1, Census Tract 11.07, Boone County, Missouri",1,11.07,19,29,290190000000,5,687,377,16,0,39,21,0,1,1,1,18,15,15,21,26,65,9,0,37,13,17,47,0,0,15,310,0,6,19,0,0,20,0,23,0,17,0,0,61,29,40,18,15,18,17,0,0,27,0
"Block Group 2, Census Tract 11.07, Boone County, Missouri",2,11.07,19,29,290190011072,5,1487,597,58,22,50,9,0,0,12,21,29,77,59,43,19,66,26,0,37,0,0,69,0,0,0,890,70,52,45,5,0,0,13,80,77,82,0,185,38,41,13,0,14,0,27,53,0,13,82
"Block Group 3, Census Tract 11.07, Boone County, Missouri",3,11.07,19,29,290190011073,5,1938,948,10,11,39,111,0,0,0,0,78,209,35,83,6,18,65,49,38,0,37,73,71,0,15,990,0,48,75,57,6,0,0,57,86,5,18,75,23,26,69,29,52,6,67,70,138,13,70
"Block Group 1, Census Tract 11.08, Boone County, Missouri",1,11.08,19,29,290190011081,5,1442,634,67,84,34,0,9,0,24,9,16,24,109,12,48,45,19,0,14,0,76,32,0,12,0,808,48,47,28,0,0,0,0,108,43,87,66,27,22,16,64,13,62,0,14,28,13,48,74
"Block Group 2, Census Tract 11.08, Boone County, Missouri",2,11.08,19,29,290190011082,5,703,284,92,0,0,0,0,0,0,114,51,0,0,0,27,0,0,0,0,0,0,0,0,0,0,419,0,0,0,0,33,0,0,127,124,32,16,68,0,0,0,19,0,0,0,0,0,0,0
"Block Group 3, Census Tract 11.08, Boone County, Missouri",3,11.08,19,29,290190011083,5,771,275,0,0,0,0,0,71,0,15,31,27,0,0,0,0,12,14,0,57,13,0,0,35,0,496,0,0,0,43,7,58,30,112,40,45,0,44,0,7,29,0,0,0,81,0,0,0,0
"Block Group 1, Census Tract 11.09, Boone County, Missouri",1,11.09,19,29,290190011091,5,1687,1075,43,324,0,213,0,0,0,0,30,0,48,266,0,12,43,0,0,0,62,0,0,0,34,612,0,0,173,1,0,0,14,2,1,256,45,0,0,13,73,0,0,0,0,0,21,0,13
"Block Group 2, Census Tract 11.09, Boone County, Missouri",2,11.09,19,29,290190011092,5,874,376,26,0,0,0,0,0,0,20,0,38,0,40,9,43,31,0,0,0,0,65,104,0,0,498,37,0,10,0,0,0,27,33,0,42,27,30,45,7,64,0,18,0,0,0,98,60,0
"Block Group 3, Census Tract 11.09, Boone County, Missouri",3,11.09,19,29,290190011093,5,841,439,0,0,34,43,30,107,0,14,51,38,29,0,36,0,0,29,28,0,0,0,0,0,0,402,0,0,0,0,19,0,0,122,86,35,6,57,50,0,27,0,0,0,0,0,0,0,0
"Block Group 4, Census Tract 11.09, Boone County, Missouri",4,11.09,19,29,290190011094,5,2045,908,126,40,140,63,0,70,0,31,24,0,0,140,23,0,82,5,109,10,0,12,0,22,11,1137,35,37,132,28,0,0,0,89,58,0,0,134,80,168,63,6,0,54,55,14,89,65,30
"Block Group 1, Census Tract 11.10, Boone County, Missouri",1,11.1,19,29,290190011101,,3307,1459,0,163,143,91,47,0,0,84,66,31,131,264,164,112,39,0,0,74,13,37,0,0,0,1848,91,26,430,51,28,0,27,51,49,85,227,140,264,127,62,23,47,29,46,26,19,0,0
"Block Group 2, Census Tract 11.10, Boone County, Missouri",2,11.1,19,29,290190011102,,1418,561,49,31,0,0,0,46,112,72,0,47,47,0,70,0,60,0,0,0,0,27,0,0,0,857,0,0,35,0,106,140,25,223,51,23,0,65,22,0,0,0,67,0,0,100,0,0,0
"Block Group 3, Census Tract 11.10, Boone County, Missouri",3,11.1,19,29,290190011103,,2668,1205,46,243,46,0,0,16,0,0,85,140,89,47,37,79,91,67,36,24,30,88,12,0,29,1463,243,47,86,67,0,0,0,0,207,79,188,107,105,35,86,0,44,0,46,53,9,61,0
"Block Group 1, Census Tract 12.01, Boone County, Missouri",1,12.01,19,29,290190012011,4,723,390,23,22,0,17,0,0,25,43,69,9,15,0,0,0,16,21,56,0,13,30,15,16,0,333,76,14,0,0,0,14,0,0,76,40,14,0,0,16,27,25,0,0,16,0,15,0,0
"Block Group 2, Census Tract 12.01, Boone County, Missouri",2,12.01,19,29,290190012012,4,1086,459,64,34,27,10,0,0,0,0,0,19,57,12,43,0,32,38,14,0,0,33,76,0,0,627,63,81,12,0,0,0,0,21,0,16,67,85,19,45,44,21,25,0,12,36,47,33,0
"Block Group 3, Census Tract 12.01, Boone County, Missouri",3,12.01,19,29,290190012013,4,2109,1017,91,102,103,28,0,19,0,80,0,31,18,110,20,97,145,16,26,25,13,57,16,20,0,1092,0,82,83,14,12,19,19,18,49,50,100,77,81,109,130,22,37,17,16,57,74,14,12
"Block Group 4, Census Tract 12.01, Boone County, Missouri",4,12.01,19,29,290190012014,4,2147,1122,95,141,158,56,53,0,0,108,48,28,52,84,61,24,54,67,0,0,0,68,25,0,0,1025,111,92,51,0,19,0,0,46,26,47,176,61,154,0,50,55,18,17,31,17,28,26,0
"Block Group 1, Census Tract 12.02, Boone County, Missouri",1,12.02,19,29,290190012021,4,1993,1063,38,119,189,34,11,22,0,49,0,24,66,62,64,114,58,46,22,14,28,11,41,13,38,930,76,82,16,10,0,14,0,68,77,27,55,120,19,94,75,29,9,14,27,60,21,13,24
"Block Group 2, Census Tract 12.02, Boone County, Missouri",2,12.02,19,29,290190012022,4,1399,825,19,20,41,111,111,0,0,0,44,16,0,30,82,72,49,48,30,95,13,31,0,13,0,574,18,26,44,18,0,0,0,0,43,47,40,27,0,31,136,4,65,40,0,14,9,12,0
"Block Group 3, Census Tract 12.02, Boone County, Missouri",3,12.02,19,29,290190012023,4,1166,442,35,0,0,45,25,37,0,27,9,73,78,0,30,0,27,15,11,0,0,0,0,30,0,724,67,9,9,0,16,21,0,88,126,83,35,61,9,1,8,37,10,0,14,55,26,0,49
"Block Group 4, Census Tract 12.02, Boone County, Missouri",4,12.02,19,29,290190012024,4,691,292,28,16,36,28,0,0,0,0,0,30,16,16,19,33,31,0,13,0,13,13,0,0,0,399,14,31,31,0,9,16,16,0,41,0,31,18,56,27,19,19,13,0,45,0,13,0,0
"Block Group 1, Census Tract 13, Boone County, Missouri",1,1300,19,29,290190013001,,1364,672,20,62,32,0,0,0,42,25,300,48,43,11,17,43,17,0,0,0,8,4,0,0,0,692,28,40,36,38,22,56,0,98,149,90,25,23,17,24,23,0,0,7,16,0,0,0,0
"Block Group 2, Census Tract 13, Boone County, Missouri",2,1300,19,29,290190013002,,1555,739,0,0,0,29,17,0,24,176,202,66,56,46,54,0,23,0,17,8,0,14,7,0,0,816,24,26,17,0,0,0,139,50,214,88,47,19,62,0,32,13,15,0,5,6,52,7,0
"Block Group 3, Census Tract 13, Boone County, Missouri",3,1300,19,29,290190013003,,1232,626,29,48,12,0,0,44,7,43,32,17,37,15,0,15,116,0,19,14,57,18,52,19,32,606,34,18,16,53,0,6,0,8,22,30,30,25,22,18,66,22,0,49,41,6,71,34,35
"Block Group 1, Census Tract 14.01, Boone County, Missouri",1,14.01,19,29,290190014011,2,2956,1650,131,128,125,38,59,0,86,101,115,138,176,109,75,107,114,0,37,30,0,19,42,20,0,1306,89,59,81,0,20,44,0,46,146,221,102,102,39,53,165,23,29,0,0,45,22,20,0
"Block Group 2, Census Tract 14.01, Boone County, Missouri",2,14.01,19,29,290190014012,2,2443,1413,121,62,0,0,25,41,209,262,51,119,188,22,171,68,51,0,0,23,0,0,0,0,0,1030,0,86,176,85,56,43,0,39,71,49,195,23,28,38,55,10,0,25,26,0,25,0,0
"Block Group 3, Census Tract 14.01, Boone County, Missouri",3,14.01,19,29,290190014013,2,1544,637,9,71,24,0,20,0,0,36,77,41,131,92,0,69,0,0,67,0,0,0,0,0,0,907,129,57,21,133,0,0,0,63,56,70,189,0,0,21,67,0,70,0,31,0,0,0,0
